STATION_NAME,DATE,TMAX,TMIN
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170125,42,34
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170126,34,30
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170127,31,24
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170128,29,24
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170129,28,21
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170130,37,15
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170131,39,35
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170201,38,21
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170202,24,14
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170203,28,14
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170204,33,10
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170205,38,24
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170206,55,21
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170207,50,32
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170208,32,19
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170209,25,13
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170210,41,18
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170211,49,34
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170212,47,31
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170213,44,25
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170214,50,31
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170215,35,26
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170216,41,30
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170217,67,27
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170218,70,40
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170219,69,35
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170220,70,41
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170221,66,49
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170222,68,50
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170223,59,38
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170224,40,33
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170225,33,23
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170226,49,21
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170227,54,27
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20170228,60,47
